name,latitude,longitude
100 Feet Road,12.950882617744337,77.63934384125207
CMH Road,12.978490518353217,77.63767202601558
Marathahalli Bridge,12.957173257672077,77.70061836806401
Sony World Junction,12.934328393288181,77.62341058173027
Sarjapur Road,12.911067851297604,77.68454534125132
Trinity Circle,12.971145190653916,77.61974337044367
Anil Kumble Circle,12.976673235743293,77.60187179707393
Jayanagar 4th Block,12.92953409818671,77.57999751499257
South End Circle,12.93798220526246,77.5857478874581
Hebbal Flyover,13.042868363938195,77.59044608358238
Ballari Road,13.13457165779884,77.6172607639986
Yeshwanthpur Circle,13.018943142415937, 77.55809126638897
Tumkur Road,13.033044878830887,77.53290458200108
ITPL Main Road,12.987409866358977,77.73727900871695
Silk Board Junction,12.91682236389931, 77.62340415289421
Hosur Road,12.854171446696736, 77.66625067008593
